lon,lat,name,url,elevation
-123.80779,39.42002,SR-20 : At SR-1 - Looking East (C020),https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20atsr1lookingeast/sr20atsr1lookingeast.jpg?_=1771278602,89
-123.36904,39.40581,SR-20 : West Of US-101 - Looking East (C007),https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofus101lookingeast/sr20westofus101lookingeast.jpg?_=1771278602,1426
-123.36904,39.40581,SR-20 : West Of US-101 - Looking West (C007),https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofus101lookingwest/sr20westofus101lookingwest.jpg?_=1771278602,1426
-123.16703,39.2378,SR-20 : East Of US-101 - Looking East (C006),https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20eastofus101lookingeast/sr20eastofus101lookingeast.jpg?_=1771278602,886
-123.16703,39.2378,SR-20 : East Of US-101 - Looking West (C006),https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20eastofus101lookingwest/sr20eastofus101lookingwest.jpg?_=1771278602,886
-122.929788,39.167204,SR-20 : West Of SR-29 - Looking East (C009),https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofsr29lookingeast/sr20westofsr29lookingeast.jpg?_=1771278602,1358
-122.929788,39.167204,SR-20 : West Of SR-29 - Looking West (C009),https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofsr29lookingwest/sr20westofsr29lookingwest.jpg?_=1771278602,1358
-123.211287,39.250296,US-101 : North Of SR-20 - Looking North (C001),https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101northofsr20lookingnorth/us101northofsr20lookingnorth.jpg?_=1771278602,742
-123.211287,39.250296,US-101 : North Of SR-20 - Looking South (C001),https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101northofsr20lookingsouth/us101northofsr20lookingsouth.jpg?_=1771278602,742
-123.776812,39.939376,US-101 : S of SR 271 - Looking South (C030),https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101sofsr271lookingsouth/us101sofsr271lookingsouth.jpg?_=1771278602,860
-124.149926,40.525005,US-101 : South Of SR-36 - Looking North (C013),https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101southofsr36lookingnorth/us101southofsr36lookingnorth.jpg?_=1771278602,86
-124.149926,40.525005,US-101 : South Of SR-36 - Looking South (C013),https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101southofsr36lookingsouth/us101southofsr36lookingsouth.jpg?_=1771278602,86
-124.14815,40.56289,US-101 : North Of SR-36 - Looking North (C003),https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101northofsr36lookingnorth/us101northofsr36lookingnorth.jpg?_=1771278602,57
-124.14815,40.56289,US-101 : North Of SR-36 - Looking South (C003),https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101northofsr36lookingsouth/us101northofsr36lookingsouth.jpg?_=1771278602,57
-124.19933,40.74447,US-101 : Eureka / Spruce Point - Looking North (C023),https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101eurekasprucepointlookingnorth/us101eurekasprucepointlookingnorth.jpg?_=1771278602,33
-124.19936,40.74449,US-101 : Eureka / Spruce Point - Looking South (C023),https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101eurekasprucepointlookingsouth/us101eurekasprucepointlookingsouth.jpg?_=1771278602,33
-124.153354,40.803759,US-101 : Eureka / 5th & R Street - Looking North (C034),https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101eureka5thrstreetlookingnorth/us101eureka5thrstreetlookingnorth.jpg?_=1771278602,37
-124.07934,40.888782,US-101 : South Of SR-299 - Looking North (C004),https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101southofsr299lookingnorth/us101southofsr299lookingnorth.jpg?_=1771278602,54
-124.07934,40.888782,US-101 : South Of SR-299 - Looking South (C004),https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101southofsr299lookingsouth/us101southofsr299lookingsouth.jpg?_=1771278602,54
